id,runtime,budget,revenue,roi
115782,128,12000000,35931410,199.42841666666666
132363,132,25000000,115922175,363.68870000000004
152584,180,4300000,10165694,136.41148837209303
137093,105,28000000,134402450,380.00875
76170,126,120000000,415440673,246.20056083333336
82992,131,160000000,788680968,392.92560499999996
116741,119,58000000,44000000,-24.137931034482758
245891,101,20000000,88761661,343.808305
122917,144,250000000,956019788,282.4079152
118340,121,170000000,772776600,354.57447058823533
127585,132,250000000,747862775,199.14511
198663,113,34000000,348319861,924.4701794117648
177572,102,165000000,657827828,298.6835321212121
131631,123,125000000,752100229,501.6801832
205596,113,14000000,233555708,1568.2550571428571
210577,149,61000000,369330363,505.4596114754099
228150,135,68000000,211817906,211.49692058823527
49017,92,70000000,217124280,210.17754285714284
156022,132,55000000,192330738,249.69225090909092
244786,107,3300000,13092000,296.72727272727275
157336,169,165000000,675120017,309.16364666666664
238636,104,9000000,111928365,1143.6485
119450,130,170000000,710644566,318.02621529411766
82702,102,145000000,609123048,320.08486068965516
147441,150,140000000,268031828,91.45130571428571
207703,129,81000000,414351546,411.54511851851856
98566,101,125000000,477200000,281.76
242582,118,8500000,50300000,491.764705882353
76649,105,100000000,117831631,17.831631
124905,123,160000000,529076069,230.67254312499998
184315,99,100000000,244819862,144.819862
53182,102,110000000,337580051,206.89095545454546
194662,120,18000000,103215094,473.41718888888886
270946,92,132000000,373552094,182.99401060606058
189,102,65000000,39407616,-39.37289846153846
102382,142,200000000,708962323,254.48116149999998
225886,97,40000000,126069509,215.17377249999998
181533,98,127000000,363204635,185.98790157480317
137113,113,178000000,370541256,108.16924494382023
137106,100,60000000,469160692,681.9344866666667
169917,114,28000000,53181600,89.9342857142857
102651,97,180000000,758539785,321.4109916666667
176,103,1200000,103911669,8559.30575
138103,126,90000000,206172544,129.08060444444445
190859,133,58800000,542307423,822.2915357142858
227159,108,42000000,107670357,156.35799285714285
270303,101,2000000,14674076,633.7038
193893,104,17000000,136621271,703.6545352941176
120467,100,30000000,174600318,482.00106
172385,101,103000000,500188435,385.6198398058253
100402,136,170000000,714766572,320.45092470588236
97020,118,120000000,242688965,102.24080416666668
157350,139,85000000,288747895,239.70340588235294
240832,89,40000000,458863600,1047.159
205587,141,50000000,83719388,67.438776
239563,102,13000000,54837234,321.82487692307694
204922,92,22000000,15447154,-29.785663636363637
222935,126,12000000,307166834,2459.7236166666667
152601,126,23000000,47351251,105.87500434782609
100042,110,40000000,169837010,324.592525
212778,114,11000000,45967935,317.8903181818182
149870,126,30000000,117932401,293.10800333333333
228967,112,44000000,12342632,-71.94856363636364
242512,89,5000000,103590271,1971.8054200000001
195589,97,18000000,270665134,1403.6951888888889
154400,106,12600000,19054534,51.22646031746032
