,genre_ids,original_title,title,release_date,movie,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,domestic_return%,worldwide_return%,release_year,release_day,release_month
69,"[28, 35, 53]",Machete,Machete,2013-05-10,The Great Gatsby,190000000.0,144840419.0,351040419.0,-23.768200526315788,84.75811526315789,-23.768200526315788,84.75811526315789,2013,Friday,May
70,"[80, 18, 9648, 10749]",El secreto de sus ojos,The Secret in Their Eyes,2009-11-06,Disneyâs A Christmas Carol,190000000.0,137855863.0,315709697.0,-27.444282631578947,66.16299842105263,-27.444282631578947,66.16299842105263,2009,Friday,November
71,[35],Date Night,Date Night,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,-46.41952315789474,116.31731894736843,-46.41952315789474,116.31731894736843,2013,Friday,July
72,"[35, 18]",Due Date,Due Date,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,-34.353536,78.01121973333333,-34.353536,78.01121973333333,2015,Wednesday,November
73,"[28, 878, 53, 80]",Repo Men,Repo Men,2008-05-02,Iron Man,186000000.0,318604126.0,585171547.0,71.29254086021506,214.60835860215056,71.29254086021506,214.60835860215056,2008,Friday,May
74,"[16, 28]",Superman/Shazam!: The Return of Black Adam,Superman/Shazam!: The Return of Black Adam,2008-07-18,The Dark Knight,185000000.0,533720947.0,1001996207.0,188.49780918918918,441.61957135135134,188.49780918918918,441.61957135135134,2008,Friday,July
75,[16],サマーウォーズ,Summer Wars,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,317101119.0,786635413.0,71.40601027027027,325.2083313513514,71.40601027027027,325.2083313513514,2008,Thursday,May
76,"[28, 12, 18, 10751]",The Karate Kid,The Karate Kid,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,28.260638918918918,199.7873145945946,28.260638918918918,199.7873145945946,2012,Friday,June
77,"[35, 10751]",Diary of a Wimpy Kid,Diary of a Wimpy Kid,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,-9.160642162162162,203.28219405405403,-9.160642162162162,203.28219405405403,2017,Friday,March
78,"[9648, 27, 28]",The Crazies,The Crazies,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,-14.136032432432433,81.51472054054054,-14.136032432432433,81.51472054054054,2016,Friday,July
79,"[28, 53, 80, 9648]",Luftslottet som sprängdes,The Girl Who Kicked the Hornet's Nest,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,-50.24099513513514,40.19319351351351,-50.24099513513514,40.19319351351351,2017,Friday,October
80,"[35, 10749]",Little Fockers,Little Fockers,2019-05-24,Aladdin,182000000.0,246734314.0,619234314.0,35.56830439560439,240.23863406593406,35.56830439560439,240.23863406593406,2019,Friday,May
81,"[28, 12, 35, 80, 53]",RED,RED,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,75.03238277777777,370.5444577777778,75.03238277777777,370.5444577777778,2017,Friday,November
82,"[18, 10749, 10752]",Dear John,Dear John,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,291710957.0,720539572.0,62.061642777777784,300.2997622222222,62.061642777777784,300.2997622222222,2005,Friday,December
83,[27],Legion,Legion,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,34.115182222222224,321.4092972222222,34.115182222222224,321.4092972222222,2014,Friday,May
84,"[12, 14, 16, 878]",ゲド戦記,Tales from Earthsea,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,30.020875000000004,345.7793627777778,30.020875000000004,345.7793627777778,2016,Friday,November
85,"[10749, 35]",Leap Year,Leap Year,2008-06-27,WALL-E,180000000.0,223808164.0,532508025.0,24.337868888888888,195.83779166666665,24.337868888888888,195.83779166666665,2008,Friday,June
86,"[35, 10749, 18]",Life As We Know It,Life As We Know It,2007-08-10,Rush Hour 3,180000000.0,140125968.0,256585882.0,-22.15224,42.54771222222222,-22.15224,42.54771222222222,2007,Friday,August
87,"[18, 28, 53, 80, 9648]",Flickan som lekte med elden,The Girl Who Played with Fire,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,-29.64274388888889,93.83445833333333,-29.64274388888889,93.83445833333333,2016,Friday,July
